number,type,short_description,category,priority,state,opened_at,resolved_at,assignment_group,region,related_ci
INC0010000,Incident,Store W373 on 4G failover — degraded POS response,Store Network & Connectivity,3,In Progress,2025-12-21 19:12,,Network Ops,Gauteng,Store-Router-10
CHG0007000,Change Request,"Emergency change: promo price not applying at till for advertised line, store w504",Pricing & Promotions,3,Implement,2025-11-17 06:19,,Merch Systems,National / Online,Promo-Engine-12
INC0010001,Incident,Voucher PRM-4667 redeemable multiple times — exposure risk,Gift Cards & Vouchers,4,Resolved,2026-01-11 17:34,2026-01-14 10:41,Payments Ops,Gauteng,GiftCard-Service-26
INC0010002,Incident,Markdown batch stuck — clearance prices not live,Pricing & Promotions,3,Closed,2026-04-24 19:59,2026-04-26 06:34,Merch Systems,Limpopo,Promo-Engine-12
CHG0007001,Change Request,Patch release for eft declines spiking at store w148 — response code 91,Payments & EFT,4,Authorise,2026-06-12 18:12,,Payments Ops,Limpopo,EFT-Switch-29
INC0010003,Incident,High packet loss to data centre from Limpopo stores,Store Network & Connectivity,1,Resolved,2025-12-03 07:13,2025-12-03 14:42,Network Ops,Western Cape,Store-Router-29
CHG0007002,Change Request,Patch release for push notifications not delivered for order updates,Mobile App,3,Implement,2026-02-08 19:30,,Digital Commerce,KwaZulu-Natal,Mobile-BFF-29
CHG0007003,Change Request,Deploy fix for promotion prm-4030 double-discounting online,Pricing & Promotions,1,Scheduled,2025-12-13 15:36,,Merch Systems,Free State,Promo-Engine-39
INC0010004,Incident,Checkout payment step returning 502 for 18% of sessions,Online Checkout,2,In Progress,2026-05-12 12:19,,Digital Commerce,National / Online,Checkout-Service-23
INC0010005,Incident,Same-day delivery cutoff not enforced — late promises made,Order Fulfilment,3,Closed,2025-10-28 08:57,2025-10-28 22:27,Fulfilment Tech,National / Online,OMS-Core-38
PRB0004000,Problem,WRewards points not awarded on qualifying basket,WRewards Loyalty,4,Root Cause Analysis,2025-09-11 19:50,,Loyalty Platform,Gauteng,Loyalty-API-24
CHG0007004,Change Request,"Patch release for tap-to-pay failing on new terminals, store w264",Payments & EFT,3,Closed,2026-06-22 15:46,2026-06-25 14:30,Payments Ops,Free State,EFT-Switch-32
INC0010006,Incident,Markdown batch stuck — clearance prices not live,Pricing & Promotions,4,Closed,2026-01-30 06:45,2026-02-01 09:17,Merch Systems,North West,Promo-Engine-40
CHG0007005,Change Request,Deploy fix for markdown batch stuck — clearance prices not live,Pricing & Promotions,4,Scheduled,2025-08-11 18:17,,Merch Systems,National / Online,Promo-Engine-16
INC0010007,Incident,EDI 856 backlog of 49 messages at gateway,Supply Chain EDI,3,On Hold,2026-06-03 09:49,,Integration Hub,Limpopo,EDI-Gateway-25
CHG0007006,Change Request,Patch release for courier manifest not generated for 49 orders,Order Fulfilment,4,Authorise,2026-06-21 17:30,,Fulfilment Tech,KwaZulu-Natal,OMS-Core-13
INC0010008,Incident,Invoice EDI mismatch blocking GRN for DC 15,Supply Chain EDI,4,Closed,2026-03-16 10:56,2026-03-18 16:50,Integration Hub,Western Cape,EDI-Gateway-32
CHG0007007,Change Request,Patch release for invoice edi mismatch blocking grn for dc 16,Supply Chain EDI,4,Closed,2026-04-06 13:46,2026-04-07 13:18,Integration Hub,Free State,EDI-Gateway-09
CHG0007008,Change Request,"Deploy fix for loyalty card lookup timing out at till, store w318",WRewards Loyalty,4,Implement,2026-05-13 16:35,,Loyalty Platform,Gauteng,Loyalty-API-38
