key,summary,category,priority,status,created,resolved,team,region,labels
RET-1000,WRewards linking failing in app with error ERR-397,WRewards Loyalty,P1,Resolved,2025-10-23 16:33,2025-10-23 22:01,Loyalty Platform,KwaZulu-Natal,wrewards-loyalty
RET-1001,Cycle-count variance file rejected for store W570,Inventory & Stock Sync,P4,In Progress,2025-11-12 09:39,,Merch Systems,National / Online,inventory-stock-sync
RET-1002,Store W304 on 4G failover — degraded POS response,Store Network & Connectivity,P4,Resolved,2026-06-07 08:02,2026-06-08 05:14,Network Ops,Gauteng,store-network-connectivity
RET-1003,AS2 certificate expiry caused vendor CapeMills channel outage,Supply Chain EDI,P3,Resolved,2025-12-06 16:16,2025-12-11 08:21,Integration Hub,Western Cape,supply-chain-edi
RET-1004,POS terminal offline — store W209 unable to trade on 12 lanes,POS & Tills,P3,Closed,2026-02-01 16:08,2026-02-06 12:37,Store Systems,National / Online,pos-tills
RET-1005,Markdown batch stuck — clearance prices not live,Pricing & Promotions,P4,Closed,2026-06-29 14:51,2026-07-03 09:21,Merch Systems,Gauteng,pricing-promotions
RET-1006,"Receipt printer failure on till 4, store W406",POS & Tills,P4,Resolved,2025-11-01 17:41,2025-11-04 12:51,Store Systems,Free State,pos-tills
RET-1007,Store W491 receiving not reflecting in inventory ledger,Inventory & Stock Sync,P2,Resolved,2025-12-31 13:04,2025-12-31 17:31,Merch Systems,KwaZulu-Natal,inventory-stock-sync
RET-1008,Unit-of-measure mismatch causing receiving failures at DC 13,Product Master Data,P4,Closed,2026-02-11 17:08,2026-02-12 07:21,Data Services,Gauteng,product-master-data
RET-1009,Delivery slot selection failing for Gauteng customers,Online Checkout,P4,Resolved,2026-03-04 11:58,2026-03-07 11:53,Digital Commerce,Gauteng,online-checkout
RET-1010,"Receipt printer failure on till 14, store W333",POS & Tills,P3,Blocked,2026-03-30 19:35,,Store Systems,KwaZulu-Natal,pos-tills
RET-1011,Card payments timing out across Mpumalanga stores,Payments & EFT,P2,Closed,2026-06-16 06:37,2026-06-16 11:52,Payments Ops,Gauteng,payments-eft
RET-1012,"Promo price not applying at till for advertised line, store W298",Pricing & Promotions,P3,Closed,2025-12-04 15:56,2025-12-09 03:39,Merch Systems,Gauteng,pricing-promotions
RET-1013,Barcode scanner intermittently not reading at store W219,POS & Tills,P4,Closed,2026-05-26 19:44,2026-05-31 07:56,Store Systems,Gauteng,pos-tills
RET-1014,POS terminal offline — store W227 unable to trade on 54 lanes,POS & Tills,P1,Resolved,2025-09-01 07:58,2025-09-01 14:48,Store Systems,Gauteng,pos-tills
RET-1015,Purchase order acknowledgements not reaching vendor FreshCo,Supply Chain EDI,P4,Closed,2026-06-14 10:35,2026-06-14 18:42,Integration Hub,Northern Cape,supply-chain-edi
RET-1016,Images not loading on home screen — CDN 403s,Mobile App,P4,In Progress,2025-12-15 15:29,,Digital Commerce,National / Online,mobile-app
RET-1017,"Voucher barcode not scanning at till, store W274",Gift Cards & Vouchers,P3,In Progress,2026-02-15 15:03,,Payments Ops,Gauteng,gift-cards-vouchers
RET-1018,Store W461 on 4G failover — degraded POS response,Store Network & Connectivity,P4,Closed,2026-04-29 09:59,2026-05-01 18:34,Network Ops,Western Cape,store-network-connectivity
RET-1019,Negative SOH values appearing for 30 SKUs after nightly sync,Inventory & Stock Sync,P4,In Progress,2025-12-24 18:35,,Merch Systems,Free State,inventory-stock-sync
RET-1020,Cycle-count variance file rejected for store W192,Inventory & Stock Sync,P3,Closed,2026-01-15 13:03,2026-01-16 08:13,Merch Systems,Limpopo,inventory-stock-sync
RET-1021,Router config drift detected at store W328 after change,Store Network & Connectivity,P3,Closed,2025-10-07 17:47,2025-10-08 17:49,Network Ops,KwaZulu-Natal,store-network-connectivity
RET-1022,3-D Secure redirect loop on mobile web checkout,Online Checkout,P2,In Progress,2026-06-12 16:06,,Digital Commerce,Western Cape,online-checkout
RET-1023,Till 10 frozen on tender screen at store W123,POS & Tills,P3,In Progress,2026-02-20 09:34,,Store Systems,National / Online,pos-tills
RET-1024,Dual-message settlement mismatch for trading date 2026-05-22,Payments & EFT,P2,Resolved,2026-04-25 09:45,2026-04-26 15:35,Payments Ops,Eastern Cape,payments-eft
RET-1025,"Tap-to-pay failing on new terminals, store W322",Payments & EFT,P4,Resolved,2026-06-19 20:43,2026-06-23 17:48,Payments Ops,National / Online,payments-eft
RET-1026,"Checkout stuck on ""processing payment"" — orders duplicated",Online Checkout,P2,Resolved,2026-06-16 20:05,2026-06-17 16:52,Digital Commerce,Eastern Cape,online-checkout
RET-1027,Same-day delivery cutoff not enforced — late promises made,Order Fulfilment,P3,Resolved,2026-04-10 08:12,2026-04-15 08:20,Fulfilment Tech,Gauteng,order-fulfilment
RET-1028,App crash on product page for Android 36% of sessions,Mobile App,P4,Resolved,2026-01-09 14:07,2026-01-13 13:45,Digital Commerce,Gauteng,mobile-app
RET-1029,Same-day delivery cutoff not enforced — late promises made,Order Fulfilment,P3,Closed,2025-12-22 13:48,2025-12-25 00:19,Fulfilment Tech,Western Cape,order-fulfilment
RET-1030,EFT declines spiking at store W186 — response code 91,Payments & EFT,P4,Blocked,2026-03-24 16:01,,Payments Ops,Gauteng,payments-eft
